id,text,created_at,author_id,in_reply_to_user_id,lang,author,entities,referenced_tweets,media,geo
1.53142400706021E+018,"Hatupangwingwi!!!,  Drop your handles let's gain some followers. Follow @Uda_KenyaKwanza for daily gains.  🏗 🗾  🇰🇪 🟢 🟡",2022-05-30T23:55:10.000Z,1.45229022312414E+018,,en,"{""protected"":false,""id"":""1452290223124140040"",""created_at"":""2021-10-24T15:05:59.000Z"",""public_metrics"":{""followers_count"":77,""following_count"":327,""tweet_count"":2839,""listed_count"":0},""name"":""UDA #KenyaKwanza"",""username"":""Uda_KenyaKwanza"",""url"":"""",""location"":""Hustler Nation""}",,,,
1.53142202088962E+018,"RT @BMuhadis: @nduyamuthama Wooh.! Hard Tackle.! 🤣🤣🤣
Hii ni kifo ata sio kuzimia..wameze wembe. Lol..hahaha.. 

Hatupangwingwi.! 
Gents let…",2022-05-30T23:47:16.000Z,376162917,,en,"{""protected"":false,""id"":""376162917"",""created_at"":""2011-09-19T12:20:56.000Z"",""public_metrics"":{""followers_count"":1765,""following_count"":2141,""tweet_count"":7049,""listed_count"":1},""name"":""Duke of kinooshire"",""username"":""kib8elly"",""url"":"""",""location"":""Nairobi, Kenya""}",,"[{""type"":""retweeted"",""id"":""1531285748950913024"",""created_at"":""2022-05-30T14:45:47.000Z"",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1531280991083536384""}],""attachments"":{""media_keys"":[""7_1531285565236207619""]},""in_reply_to_user_id"":""2906821744"",""lang"":""en"",""author_id"":""1289446448682147840"",""text"":""@nduyamuthama Wooh.! Hard Tackle.! 🤣🤣🤣\nHii ni kifo ata sio kuzimia..wameze wembe. Lol..hahaha.. \n\nHatupangwingwi.! \nGents let’s get our Remix back into campaign trail loud en clear. Kuzimia deserves sleepless nights &amp; unpleasant days. \n@UDAKenya @VeronicaMainaSG @NdindiNyoro @WilliamsRuto https://t.co/358o05RZ7B""}]",,
1.53141045686639E+018,"RT @KiigenKoech: I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON…",2022-05-30T23:01:19.000Z,9.33401400058532E+017,,en,"{""protected"":false,""id"":""933401400058531854"",""created_at"":""2017-11-22T18:26:50.000Z"",""public_metrics"":{""followers_count"":55,""following_count"":215,""tweet_count"":223,""listed_count"":0},""name"":""Kijaro Kajairo"",""username"":""JKijaro"",""url"":"""",""location"":""Eldoret, Kenya""}",,"[{""type"":""retweeted"",""id"":""1531223046215847936"",""created_at"":""2022-05-30T10:36:37.000Z"",""lang"":""en"",""author_id"":""48084837"",""text"":""I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON SAKAJA. Mimi sio kondoo. We need LEADERS and not GANGSTERS! SIPANGWINGWI!! #BabaThe5th @SakajaJohnson @RailaOdinga""}]",,
1.53140897818152E+018,"Hatupangwingwi!!!,  Comment using  ❤️ and follow everyone that likes your comment! Follow @Uda_KenyaKwanza for daily gains.  🌁 🎆  🇰🇪 🟢 🟡",2022-05-30T22:55:27.000Z,1.45229022312414E+018,,en,"{""protected"":false,""id"":""1452290223124140040"",""created_at"":""2021-10-24T15:05:59.000Z"",""public_metrics"":{""followers_count"":77,""following_count"":327,""tweet_count"":2839,""listed_count"":0},""name"":""UDA #KenyaKwanza"",""username"":""Uda_KenyaKwanza"",""url"":"""",""location"":""Hustler Nation""}",,,,
1.53140638637401E+018,"RT @KiigenKoech: I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON…",2022-05-30T22:45:09.000Z,4170949582,,en,"{""protected"":false,""id"":""4170949582"",""created_at"":""2015-11-12T11:29:47.000Z"",""public_metrics"":{""followers_count"":205,""following_count"":755,""tweet_count"":5412,""listed_count"":0},""name"":""calvin joel"",""username"":""calvinjoel5"",""url"":"""",""location"":""Nairobi, Kenya""}",,"[{""type"":""retweeted"",""id"":""1531223046215847936"",""created_at"":""2022-05-30T10:36:37.000Z"",""lang"":""en"",""author_id"":""48084837"",""text"":""I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON SAKAJA. Mimi sio kondoo. We need LEADERS and not GANGSTERS! SIPANGWINGWI!! #BabaThe5th @SakajaJohnson @RailaOdinga""}]",,
1.53140284428428E+018,"RT @KiigenKoech: I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON…",2022-05-30T22:31:04.000Z,1.17187625217889E+018,,en,"{""protected"":false,""id"":""1171876252178890757"",""created_at"":""2019-09-11T20:01:00.000Z"",""public_metrics"":{""followers_count"":10490,""following_count"":8541,""tweet_count"":18582,""listed_count"":3},""name"":""Sultan Governor🇰🇪🇺🇲🇯🇲🇬🇲🌴"",""username"":""Sultanbalombu"",""url"":"""",""location"":""#azimiolaumoja""}",,"[{""type"":""retweeted"",""id"":""1531223046215847936"",""created_at"":""2022-05-30T10:36:37.000Z"",""lang"":""en"",""author_id"":""48084837"",""text"":""I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON SAKAJA. Mimi sio kondoo. We need LEADERS and not GANGSTERS! SIPANGWINGWI!! #BabaThe5th @SakajaJohnson @RailaOdinga""}]",,
1.53139387322993E+018,"Hatupangwingwi!!!,  Drop your handles let's gain some followers. Follow @Uda_KenyaKwanza for daily gains.  ⛰ ⛺️  🇰🇪 🟢 🟡",2022-05-30T21:55:25.000Z,1.45229022312414E+018,,en,"{""protected"":false,""id"":""1452290223124140040"",""created_at"":""2021-10-24T15:05:59.000Z"",""public_metrics"":{""followers_count"":77,""following_count"":327,""tweet_count"":2839,""listed_count"":0},""name"":""UDA #KenyaKwanza"",""username"":""Uda_KenyaKwanza"",""url"":"""",""location"":""Hustler Nation""}",,,,
1.53138786126998E+018,"@GitobuImanyara @Moraah__ Waaah,am so sorry sir...the ground shifted,
#hatupangwingwi",2022-05-30T21:31:32.000Z,1.14454524599414E+018,42970712,en,"{""protected"":false,""id"":""1144545245994135552"",""created_at"":""2019-06-28T09:57:06.000Z"",""public_metrics"":{""followers_count"":168,""following_count"":2326,""tweet_count"":1162,""listed_count"":1},""name"":""Farlconkk"",""username"":""farlconkk"",""url"":"""",""location"":""Nairobi, Kenya""}",,"[{""type"":""replied_to"",""id"":""1531340552960102400"",""created_at"":""2022-05-30T18:23:33.000Z"",""lang"":""en"",""author_id"":""42970712"",""text"":""We are now officially in the campaign period for Kenya's most consequential election and I will be actively campaigning for the Second Liberation ticket of Raila Odinga and his running mate Martha Karua. God bless Kenya.""}]",,
1.53138411358377E+018,"RT @KiigenKoech: I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON…",2022-05-30T21:16:39.000Z,561273892,,en,"{""protected"":false,""id"":""561273892"",""created_at"":""2012-04-23T16:25:51.000Z"",""public_metrics"":{""followers_count"":404,""following_count"":281,""tweet_count"":1813,""listed_count"":6},""name"":""JohnRachkara 🇺🇦"",""username"":""jrachkara"",""url"":"""",""location"":""Uganda""}",,"[{""type"":""retweeted"",""id"":""1531223046215847936"",""created_at"":""2022-05-30T10:36:37.000Z"",""lang"":""en"",""author_id"":""48084837"",""text"":""I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON SAKAJA. Mimi sio kondoo. We need LEADERS and not GANGSTERS! SIPANGWINGWI!! #BabaThe5th @SakajaJohnson @RailaOdinga""}]",,
1.5313824307493E+018,"RT @KiigenKoech: I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON…",2022-05-30T21:09:57.000Z,135604066,,en,"{""protected"":false,""id"":""135604066"",""created_at"":""2010-04-21T19:42:59.000Z"",""public_metrics"":{""followers_count"":1087,""following_count"":821,""tweet_count"":31080,""listed_count"":7},""name"":""Major (rtd) P E van"",""username"":""Meja1084"",""url"":"""",""location"":""GAZA ,JAMAICA""}",,"[{""type"":""retweeted"",""id"":""1531223046215847936"",""created_at"":""2022-05-30T10:36:37.000Z"",""lang"":""en"",""author_id"":""48084837"",""text"":""I am firmly in the UDA PARTY but my preferred Presidential Candidate is RAILA ODINGA and the GOVERNOR of Nairobi, JOHNSON SAKAJA. Mimi sio kondoo. We need LEADERS and not GANGSTERS! SIPANGWINGWI!! #BabaThe5th @SakajaJohnson @RailaOdinga""}]",,
